,TrainLoss,TestLoss
0,0.6070109163544087,0.361878604816314
1,0.34443622145624714,0.2812418293758042
2,0.3085698211988313,0.26835065046042234
3,0.28224753161608823,0.42389617374927074
4,0.26297330964046867,0.26586934784422667
5,0.25018646991283616,0.27575821918859933
6,0.24208230733623004,0.232444742207841
7,0.23482867908906158,0.2602722649718071
8,0.22833017309902412,0.2417140088419379
9,0.2238647495165543,0.2317138251972728
10,0.21893804292729832,0.23106902126777012
11,0.2146916553889365,0.23850356540687673
12,0.21217765669641267,0.23236717182798874
13,0.20807162195963652,0.23391267035352684
14,0.20616757391648283,0.22793338961727258
15,0.204215688181753,0.21295553296374273
16,0.20246388334029353,0.2550749037372649
17,0.20102258174715804,0.20443263738312753
18,0.19828860399141163,0.21158097571679782
19,0.19609445496333452,0.20977360444276516
20,0.19462769394647556,0.21393400228327764
21,0.19195796393033132,0.23440511523284913
22,0.18961078555643124,0.20322939703391787
23,0.18860100272937874,0.21921630880396725
24,0.18669266388839786,0.1977886153940034
25,0.1847878617230998,0.20917565423914145
26,0.18432947518814552,0.21278120902354866
27,0.18234144050463172,0.20435930220145124
28,0.18096555981332893,0.23189695192553755
29,0.17875287191244035,0.20154408383444866
30,0.16722794572295335,0.19397416565433329
31,0.16656548501201718,0.19785330671782314
32,0.16602230310887262,0.19200394049426
33,0.16575630316859577,0.19560706551842683
34,0.1657527018534869,0.1977598652318055
35,0.16565536187808397,0.19594786809336776
36,0.16529614813951407,0.191505074961373
37,0.16526274008725736,0.1989287562621691
38,0.16457774194224647,0.19529350471414006
39,0.16474965024305155,0.19357462409020648
40,0.16453608382379495,0.18889342177888216
41,0.16375802954815985,0.19795059195645331
42,0.16379452903738292,0.19226298117667567
43,0.1639862289962113,0.19107881830466406
44,0.16350084520236885,0.18757688378586654
45,0.1634041862791536,0.18919855654119866
46,0.16339014543930938,0.18988540924062391
47,0.16319202253527446,0.19800626033582405
48,0.16281057866370258,0.2002615412576035
49,0.162563957670919,0.1914862631161371
50,0.16258635472592536,0.19063860656912165
51,0.16285063651509502,0.1932603133808036
52,0.16190474285815556,0.1941240867888381
53,0.1621959899351492,0.19358557313514965
54,0.16201064829995018,0.19455411082542054
